county_fips,county_name,state_name,state_code,population
6037.0,Los Angeles County,CA,CA,10014009
17031.0,Cook County,IL,IL,5275541
48201.0,Harris County,TX,TX,4731145
4013.0,Maricopa County,AZ,AZ,4410824
6073.0,San Diego County,CA,CA,3308956
6059.0,Orange County,CA,CA,2181654
36047.0,Kings County,NY,NY,2641052
12086.0,Miami-Dade County,FL,FL,2716940
48113.0,Dallas County,TX,TX,621958
6065.0,Riverside County,CA,CA,1171155
36081.0,Queens County,NY,NY,2405464
53033.0,King County,WA,WA,631932
32003.0,Clark County,NV,NV,1914414
6071.0,San Bernardino County,CA,CA,759178
48439.0,Tarrant County,TX,TX,610268
48029.0,Bexar County,TX,TX,1232180
6085.0,Santa Clara County,CA,CA,1603462
12011.0,Broward County,FL,FL,637337
26163.0,Wayne County,MI,MI,1499890
6001.0,Alameda County,CA,CA,1636074
36061.0,New York County,NY,NY,1694263
25017.0,Middlesex County,MA,MA,1412756
42101.0,Philadelphia County,PA,PA,675203
6067.0,Sacramento County,CA,CA,1739911
36103.0,Suffolk County,NY,NY,778167
12099.0,Palm Beach County,FL,FL,541090
36005.0,Bronx County,NY,NY,829365
12057.0,Hillsborough County,FL,FL,1613396
12095.0,Orange County,FL,FL,1287201
36059.0,Nassau County,NY,NY,1870455
39049.0,Franklin County,OH,OH,827069
26125.0,Oakland County,MI,MI,1747617
27053.0,Hennepin County,MN,MN,1291743
48453.0,Travis County,TX,TX,603355
39035.0,Cuyahoga County,OH,OH,1784372
42003.0,Allegheny County,PA,PA,1762752
49035.0,Salt Lake County,UT,UT,684779
6013.0,Contra Costa County,CA,CA,1896025
51059.0,Fairfax County,VA,VA,1970485
37183.0,Wake County,NC,NC,1489436
37119.0,Mecklenburg County,NC,NC,1807371
24031.0,Montgomery County,MD,MD,986232
13121.0,Fulton County,GA,GA,1417040
48085.0,Collin County,TX,TX,656730
4019.0,Pima County,AZ,AZ,1933257
15003.0,Honolulu County,HI,HI,1698079
6019.0,Fresno County,CA,CA,1154811
29189.0,Saint Louis County,MO,MO,1027035
36119.0,Westchester County,NY,NY,1148143
12031.0,Duval County,FL,FL,565725
18097.0,Marion County,IN,IN,1678557
12103.0,Pinellas County,FL,FL,584654
24033.0,Prince Georges County,MD,MD,1453277
9001.0,Fairfield County,CT,CT,1091723
34003.0,Bergen County,NJ,NJ,819030
36029.0,Erie County,NY,NY,1877523
13135.0,Gwinnett County,GA,GA,1055839
55079.0,Milwaukee County,WI,WI,773538
17043.0,DuPage County,IL,IL,831236
47157.0,Shelby County,TN,TN,1028178
53053.0,Pierce County,WA,WA,1065894
6029.0,Kern County,CA,CA,989492
9003.0,Hartford County,CT,CT,1805416
48121.0,Denton County,TX,TX,973254
26099.0,Macomb County,MI,MI,849457
6075.0,San Francisco County,CA,CA,1165987
48215.0,Hidalgo County,TX,TX,1819512
9009.0,New Haven County,CT,CT,1788507
48141.0,El Paso County,TX,TX,1788205
34023.0,Middlesex County,NJ,NJ,1753617
25027.0,Worcester County,MA,MA,1198361
34013.0,Essex County,NJ,NJ,1965689
42091.0,Montgomery County,PA,PA,568148
24005.0,Baltimore County,MD,MD,1148531
6111.0,Ventura County,CA,CA,1800571
39061.0,Hamilton County,OH,OH,1406606
53061.0,Snohomish County,WA,WA,1178843
41051.0,Multnomah County,OR,OR,1072843
48157.0,Fort Bend County,TX,TX,756508
25009.0,Essex County,MA,MA,1303591
25025.0,Suffolk County,MA,MA,1396942
40109.0,Oklahoma County,OK,OK,606530
21111.0,Jefferson County,KY,KY,1104365
6077.0,San Joaquin County,CA,CA,960337
13067.0,Cobb County,GA,GA,1305889
6081.0,San Mateo County,CA,CA,708261
13089.0,Dekalb County,GA,GA,1889673
36055.0,Monroe County,NY,NY,1863715
12071.0,Lee County,FL,FL,1720405
8041.0,El Paso County,CO,CO,771836
25021.0,Norfolk County,MA,MA,1987550
17097.0,Lake County,IL,IL,1489913
29095.0,Jackson County,MO,MO,702283
12105.0,Polk County,FL,FL,696769
34017.0,Hudson County,NJ,NJ,1061353
47037.0,Davidson County,TN,TN,1771741
8031.0,Denver County,CO,CO,1546797
17197.0,Will County,IL,IL,1450110
11001.0,District of Columbia,DC,DC,987879
35001.0,Bernalillo County,NM,NM,1064685
1073.0,Jefferson County,AL,AL,357750
40143.0,Tulsa County,OK,OK,453531
44007.0,Providence County,RI,RI,363160
26081.0,Kent County,MI,MI,155591
8005.0,Arapahoe County,CO,CO,320884
49049.0,Utah County,UT,UT,123247
42017.0,Bucks County,PA,PA,124300
34025.0,Monmouth County,NJ,NJ,182798
34029.0,Ocean County,NJ,NJ,109268
48339.0,Montgomery County,TX,TX,448951
20091.0,Johnson County,KS,KS,374329
12009.0,Brevard County,FL,FL,294776
41067.0,Washington County,OR,OR,317851
24510.0,Baltimore City,MD,MD,336584
48491.0,Williamson County,TX,TX,138044
24003.0,Anne Arundel County,MD,MD,413358
8059.0,Jefferson County,CO,CO,476896
