county_fips,county_name,state_name,state_code,median_home_value_all,median_home_value_4br,median_home_value_5br,dem_pct,rep_pct,lean_score,gun_law_grade,gun_death_rate,population,exotic_animal_rating,allows_primates,allows_big_cats,allows_reptiles,marijuana_status,recreational_legal,medical_legal,permissiveness_score,median_home_value_all_formatted,median_home_value_4br_formatted,median_home_value_5br_formatted,political_lean,gun_law_strength
6037.0,Los Angeles County,CA,CA,908030.9089992978,1031903.0193431942,1591216.5957543803,67.0,33.0,34.0,A,9.0,10014009,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$908,031","$1,031,903","$1,591,217",Strong Democrat,Strong
17031.0,Cook County,IL,IL,341704.2257185676,457535.2696322179,644052.4414858707,71.3,28.7,42.6,A-,14.1,5275541,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$341,704","$457,535","$644,052",Strong Democrat,Strong
48201.0,Harris County,TX,TX,283144.58870008384,340999.4687508303,533227.746444928,52.9,47.1,5.8,F,15.6,4731145,Permissive,Yes,Yes,Yes,CBD Only,No,No,1,"$283,145","$340,999","$533,228",Lean Democrat,Minimal
4013.0,Maricopa County,AZ,AZ,469872.98583186575,552684.4565703807,763069.3262366472,27.8,72.2,-44.4,F,18.0,4410824,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$469,873","$552,684","$763,069",Strong Republican,Minimal
6073.0,San Diego County,CA,CA,984576.244576156,1123062.8569137875,1592776.823315202,58.6,41.4,17.2,A,9.0,3308956,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$984,576","$1,123,063","$1,592,777",Lean Democrat,Strong
6059.0,Orange County,CA,CA,1251768.7510660791,1393591.5537083317,1911071.7444933224,51.4,48.6,2.8,A,9.0,2181654,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$1,251,769","$1,393,592","$1,911,072",Swing,Strong
36047.0,Kings County,NY,NY,1074921.7264388974,1276553.998848199,1702537.331755609,72.0,28.0,44.0,A-,5.4,2641052,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$1,074,922","$1,276,554","$1,702,537",Strong Democrat,Strong
12086.0,Miami-Dade County,FL,FL,591630.5397362947,716264.7576967702,1283190.0010533612,44.2,55.8,-11.6,C-,14.4,2716940,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$591,631","$716,265","$1,283,190",Lean Republican,Weak
48113.0,Dallas County,TX,TX,309184.36707936536,419879.9558282394,735007.263852892,61.6,38.4,23.2,F,15.6,621958,Permissive,Yes,Yes,Yes,CBD Only,No,No,1,"$309,184","$419,880","$735,007",Strong Democrat,Minimal
6065.0,Riverside County,CA,CA,615517.106925874,673992.1023482847,810046.5064415602,49.4,50.6,-1.2,A,9.0,1171155,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$615,517","$673,992","$810,047",Swing,Strong
36081.0,Queens County,NY,NY,862879.5546666686,926647.404753102,1107499.8357122114,62.3,37.7,24.6,A-,5.4,2405464,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$862,880","$926,647","$1,107,500",Strong Democrat,Strong
53033.0,King County,WA,WA,921697.9163010512,1137816.2830884813,1431439.8518146605,76.8,23.2,53.6,A-,10.9,631932,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$921,698","$1,137,816","$1,431,440",Strong Democrat,Strong
32003.0,Clark County,NV,NV,449677.3210743493,507692.8565109796,656224.4211366047,51.3,48.7,2.6,B-,17.4,1914414,Permissive,Yes,Yes,Yes,Fully Legal,Yes,Yes,5,"$449,677","$507,693","$656,224",Swing,Moderate
6071.0,San Bernardino County,CA,CA,548429.4354363158,666031.8442037752,804521.6996779066,48.9,51.1,-2.2,A,9.0,759178,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$548,429","$666,032","$804,522",Swing,Strong
48439.0,Tarrant County,TX,TX,319077.20002806763,402780.2537460138,557963.2456333012,47.3,52.7,-5.4,F,15.6,610268,Permissive,Yes,Yes,Yes,CBD Only,No,No,1,"$319,077","$402,780","$557,963",Lean Republican,Minimal
48029.0,Bexar County,TX,TX,255379.0195922685,333865.7773046111,462592.6510168148,55.3,44.7,10.6,F,15.6,1232180,Permissive,Yes,Yes,Yes,CBD Only,No,No,1,"$255,379","$333,866","$462,593",Lean Democrat,Minimal
6085.0,Santa Clara County,CA,CA,1740259.7380514075,1927670.988337091,2683228.621792311,70.8,29.2,41.6,A,9.0,1603462,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$1,740,260","$1,927,671","$2,683,229",Strong Democrat,Strong
12011.0,Broward County,FL,FL,533511.0639259227,709745.7280835415,1167564.811929631,58.6,41.4,17.2,C-,14.4,637337,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$533,511","$709,746","$1,167,565",Lean Democrat,Weak
26163.0,Wayne County,MI,MI,166368.18464227856,340311.9123383748,364306.7965281568,65.0,35.0,30.0,B+,14.6,1499890,Restrictive,No,No,Yes,Fully Legal,Yes,Yes,5,"$166,368","$340,312","$364,307",Strong Democrat,Moderate
6001.0,Alameda County,CA,CA,1127740.211478126,1465272.388093358,1887010.7100938435,78.0,22.0,56.0,A,9.0,1636074,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$1,127,740","$1,465,272","$1,887,011",Strong Democrat,Strong
36061.0,New York County,NY,NY,1727349.6795886569,4864091.726757078,7679321.3343608575,82.4,17.6,64.8,A-,5.4,1694263,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$1,727,350","$4,864,092","$7,679,321",Strong Democrat,Strong
25017.0,Middlesex County,MA,MA,854391.0372610302,1022467.0690532804,1576840.443431189,70.2,29.8,40.4,A+,3.7,1412756,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$854,391","$1,022,467","$1,576,840",Strong Democrat,Strong
42101.0,Philadelphia County,PA,PA,222211.0112595353,298084.21437439014,423269.9972733177,79.8,20.2,59.6,C,14.4,675203,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$222,211","$298,084","$423,270",Strong Democrat,Weak
6067.0,Sacramento County,CA,CA,531044.800352645,606250.7442654286,752373.4969621846,60.2,39.8,20.4,A,9.0,1739911,Very Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$531,045","$606,251","$752,373",Strong Democrat,Strong
36103.0,Suffolk County,NY,NY,705653.7385005386,808298.3409127329,1079155.879241066,45.0,55.0,-10.0,A-,5.4,778167,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$705,654","$808,298","$1,079,156",Lean Republican,Strong
12099.0,Palm Beach County,FL,FL,547216.5376047221,760455.2046564039,1234887.786000696,50.4,49.6,0.8,C-,14.4,541090,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$547,217","$760,455","$1,234,888",Swing,Weak
36005.0,Bronx County,NY,NY,672629.8796571342,730772.1758595105,848155.0913505192,72.7,27.3,45.4,A-,5.4,829365,Restrictive,No,No,Limited,Fully Legal,Yes,Yes,5,"$672,630","$730,772","$848,155",Strong Democrat,Strong
12057.0,Hillsborough County,FL,FL,387743.9602867565,476749.67313423305,635589.209566688,48.5,51.5,-3.0,C-,14.4,1613396,Moderate,Limited,Limited,Yes,Medical Only,No,Yes,3,"$387,744","$476,750","$635,589",Swing,Weak
